doc,seed,chunk_size_tok,start_index,end_index,question,answer
generic_share_create.rst.txt,42,644,0,2429,"What specific details must a user include in the email sent to superc@cineca.it to request access to the Manila service, and what steps are required to create and configure a GENERIC_TYPE share on two VMs within a local network?",".. _shares_generic_create_card:

Create and use a GENERIC_TYPE share
===================================

The following sections describe the steps needed to create a share and mount it on two VMs attached to a local network. 
Note that the user needs to configure the VMs in a way that allows logging in via ssh. 

Request to be enabled to the service
------------------------------------

The user willing to make use of the Manila service needs to send an email to superc@cineca.it, communicating 

- how many shares are needed.
- their dimensions (GB).
- the tenant's name.

Once the tenant is enabled to the service by the User Support Team, all users of the tenant will be able to use the service. 

Create share network
--------------------

As a first step, in the :ref:`cloud/os_overview/management_tools/dashboard:horizon dashboard` you need to create the share network 
by clicking on *""Create Share Network""* in *""Share â Share Networks""* and set the value for the following attributes:

- Share network name.
- network: choose the desired network, in our example example_share_guide_net.
- subnet: choose the desired subnet, in our example example_share_guide_subnet.
- Click on the *""save""* button.

.. image:: /cloud/_img/op_share_generic_img1.png

Create the share
----------------

Create the share by clicking on *""Create Share""* in *""Share â Shares""* and setting the following information:

- share name
- share protocol  == ""NFS""
- size (on the right side is visualized information about the actual available and used space within the tenant)
- Type == ""generic_type""
- Leave blank the option ""Make visible for all projects"" because it is not enabled 
- In the end, click on the *""create""* button.

.. image:: /cloud/_img/op_share_generic_img2.png


Set the access rule(s) on the share just created. 

- On the OpenStack dashboard click on *""Share â Shares""* 
- select the share just created
- in the menu on the right select *""Manage Rules"".*

.. image:: /cloud/_img/op_share_generic_img3.png

Click on *""Add rule""* and set:

- access type: Choose ""ip"", the rest of options displayed are not available for NFS share's protocol.
- access level: read-write or read-only (depending on your needs)
- access to: write the IP with permission to access the share. Only one entry is allowed per rule, therefore, you will have to include a rule for the fixed-IP of each VM. 
- Finally, click on the ""add"" button."
database.rst.txt,42,220,0,1019,"How does the Trove component of OpenStack facilitate the management of database instances in a cloud environment, and what specific administrative tasks does it automate for users and database administrators?",".. _database_card:

Database
========

`Trove <https://docs.openstack.org/trove/latest/>`_ is a database as a service (DBaaS) component of OpenStack. It is a pluggable 
service that supports multiple database engines.

Database as a service (DBaaS) is a cloud computing managed service offering that 
provides access to a database without requiring the setup of physical hardware, the 
installation of software or the need to configure the database. 

The Database service provides scalable and reliable cloud provisioning functionality for both 
relational and non-relational database engines. Users can quickly and easily use 
database features without the burden of handling complex administrative tasks. Cloud 
users and database administrators can provision and manage multiple database instances 
as needed.

The Database service provides resource isolation at high-performance levels, and 
automates complex administrative tasks such as deployment, configuration, patching, 
backups, restorations, and monitoring."
hpc_software.rst.txt,42,344,3453,4697,"What specific steps must be taken to authorize the use of a license on CINECA's cluster, and what additional requirement is there for using an academic license?","../files/License_request.odt>`) in which the holder declares to have a valid license and relieves CINECA of future responsibilities for the usage of that license on CINECA's cluster.
  *  We will provide the IPs of CINECA'S cluster so that the license server administrators can open their firewall to them.

When the aforementioned steps have been completed, your usernames and account(s) will be authorized to use your license running your jobs on CINECA infrastructure.
In case you would like to use an academic license, you will also have to indicate us a representative (not necessarily the license holder but with his/her approval) to be contacted by CINECA HPC User Support to allow future requests to use the same license.


Advanced Software Specific details
----------------------------------

.. |ico1| image:: img/matlab.png
   :height: 45px
   :class: no-scaled-link

.. |ico2| image:: img/qe_logo.png
   :height: 45px
   :class: no-scaled-link

.. grid:: 2

   .. grid-item-card:: |ico1| **Matlab**
      :link: matlab_card
      :link-type: ref


   .. grid-item-card:: |ico2| **QuantumESPRESSO**
      :link: quantum_espresso_card
      :link-type: ref


.. toctree::
   :maxdepth: 1
   :hidden:

   software/matlab
   software/qe"
gaia.rst.txt,42,471,0,1611,"What are the specific models of Nvidia GPUs that are integrated into the GPU nodes of the GAIA HPC cloud infrastructure, and how many of each type are there?",".. _gaia_card:

GAIA
====

**PAGE UNDER CONSTRUCTION**

Now under configuration, it is composed of 420 general purpose nodes and 
80 GPU nodes, also built on OpenStack (version to be defined). It is not only 
the biggest of the two infrastructures, but also the only accelerated one, 
mounting Nvidia GPUs models: A30, L40s and H100NVL. 

The HPC cloud infrastructure, named GAIA, is built using `OpenStack Overview` (version to be confirmed).

.. note:: 
  - It is possible to access GAIA via Horizon Dashboard at **TO BE ADDED**
  - For CLI access, the certificate chain can be downloaded here **TO BE ADDED**

System architecture
^^^^^^^^^^^^^^^^^^^

.. image:: ../_img/gaia_architecture.png

**CPU nodes**

- 420 Interactive OpenStack Nodes
- Each node consist of:
  
  - 2x CPU Intel Xeon Sierra Forrest 144 cores 2.2GHz 
  - 1 TiB of DDR5 6400 MT/s 

**GPU nodes**

- 80 Interactive OpenStack Nodes
- Each node consist of:
  
  - 2x CPU Intel Xeon Emerald Rapids Platinum 8592+ 64 cores 1.9GHz
  - 1 TiB of DDR5 4800 MT/s  
- some equipped with one or more of: 
  
  - GPU Nvidia A30 
  - GPU Nvidia L40s  
  - GPU Nvidia H100 NVL 

**Storage**
  - 2 PB IOPS-optimized/SSD Ceph Storage
  - 8 PB Capacity-optimized/HDD Ceph Storage


System timeline
^^^^^^^^^^^^^^^
       
- to be announced: Early Availability
- to be announced: Start of Pre-Production
- to be announced: Start of Production 


Flavors/Images/Openstack services
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
.. dropdown:: Flavors

    TO BE ANNOUNCED


.. dropdown:: Images

    TO BE ANNOUNCED


.. dropdown:: OpenStack Services

    TO BE ANNOUNCED"
miniconda.rst.txt,42,737,0,3062,"What are the recommended steps to clean up previous Anaconda configurations from the home directory before installing Miniconda, and why is this cleanup necessary?",".. _miniconda_card:

Miniconda 
=========

Miniconda is a minimal installer for Conda, a popular package manager for Python and other languages. Unlike the full Anaconda distribution, which includes hundreds of preinstalled packages and tools, Miniconda provides only the Conda package manager and Python. This lightweight installer allows users to create customized environments by installing only the packages they need.

Miniconda is ideal for:

- Users who want a smaller installation footprint.
- Environments where storage space or bandwidth is limited.
- Developers and researchers who prefer full control over package versions and dependencies.

With Miniconda, users can:

- Create and manage isolated environments with different Python versions.
- Install packages from multiple channels such as conda-forge or bioconda.
- Ensure reproducibility and compatibility across systems.


How to Install Miniconda
------------------------

.. important:: **Cleaning Up Anaconda3 previous Configuration from the Home Directory**

        Sometimes, previous Anaconda installations may interfere with the correct installation of Miniconda.  
        For this reason, it is recommended to perform the following cleanup steps before proceeding with the installation:

            - **Delete the Conda configuration file**::

                rm -f $HOME/.condarc

            - **Delete the Conda data directory**::

                rm -rf $HOME/.conda

            - **Remove Anaconda initialization from your shell configuration file**:

                Open your ``$HOME/.bashrc`` and remove all lines related to Anaconda3. These lines are usually located at the end of the file and enclosed between the following markers:

                .. code-block:: bash
                
                  # >>> conda initialize >>>
                  ...
                  # <<< conda initialize <<<

             You can safely delete this entire block.


To `install Miniconda3 <https://docs.anaconda.com/miniconda/install/#quick-command-line-install>`_, you have to download the installation script by running:

.. code-block:: bash

   wget https://repo.anaconda.com/miniconda/Miniconda3-latest-Linux-x86_64.sh 

Execute the downloaded script with:

.. code-block:: bash

   bash $HOME/Miniconda3-latest-Linux-x86_64.sh

During the installation, reply **""yes""** or **""ENTER""** to all prompts.

At the end of the installation, reload the bash session to apply the modifications introduced by the installer:

.. code-block:: bash

   exec bash

This command will start a new bash session in which the ``(base)`` Conda environment will be automatically activated.


Configure Channels
^^^^^^^^^^^^^^^^^^

Conda channels are configured at multiple levels:

- Global configuration: ``~/.condarc``
- Environment-specific configuration: ``<env_path>/conda-meta/.condarc``

To configure Conda to work correctly:

- Disable automatic activation of the base environment:

  .. code-block:: bash

     conda config --set auto_activate_base false

- Reload the bash session again:"
secgroups_create.rst.txt,42,333,0,1162,"What are the steps to create a security group with specific ingress rules, and what are the common default rules available for selection when configuring these ingress rules?",".. _secgroups_create_card:

Security groups: create
=========================

Security groups are a set of IP filter rules that are applied to an instance. 
These rules specify which type of traffic is allowed to reach the instance 
(see section :ref:`cloud/os_overview/os_components/network:security groups` for more information). 

- Go to the :ref:`cloud/os_overview/management_tools/dashboard:horizon dashboard`
- Go to *""Network â Security Groups""* and click on *""create security group""*
- Give a name to the security group and click on *""create security group""*
- The security group is created **by default with NO ingress rules**

.. image:: /cloud/_img/op_network_secgroups_img1.png

- Select *""Add rule""* to specify the ingress rules.
- A list of pre-defined rules is available for you to choose from (but you can create your own rule if you prefer). Common default rules are: 

  - SSH (port 22)
  - ICMP (allow to ""ping"" a server)
  - HTTP (port 80)
  - HTTPS (port 443)

.. image:: /cloud/_img/op_network_secgroups_img2.png

- In the CIDR field, you can limit the range of IPs which are allowed to the rule. 

**NOTE**: 0.0.0.0/0 means all internet"
index_storage_ops.rst.txt,42,137,0,433,What specific steps or details are provided in the 'volume_create_card' reference for creating a volume in the storage operations component?,".. _storage_ops_card:

Storage operations
==================

For general information on the storage component, visit the :ref:`cloud/os_overview/os_components/storage:storage` page. 

.. toctree::
   :maxdepth: 2
   :hidden:
   
   volume_create

.. card:: |oscinder| **Volume: create**
      :link: volume_create_card
      :link-type: ref

.. |oscinder| image:: /cloud/_img/cinder_logo.png
   :width: 35px
   :class: no-scaled-link"
interactive_computing.rst.txt,42,703,1922,4924,"How does the system handle the allocation of CPU cores and GPUs for interactive computing sessions, and what precautions should users take regarding GPU usage?",".. list-table:: Form
    :widths: 20 80
    :header-rows: 1
    :class: tight-table
 
    * - Field
      - How to fill
 
    * - **Slurm reservation**
      - you can leave it to ""None"" unless you are assigned to some specific reservation;
 
    * - **Slurm account**
      - the active account you want to be billed for the session; please note that during the pre-production phase, the accounting is inactive.
 
    * - **Number of cores**
      - the number of cores requested for the interactive computing session; please note that cores are assigned in over-subscription, which means that in the unlucky scenario in which all the cores of the system are allocated, the user may share the same core with other users (currently maximum five users on the same CPU);
 
    * - **Memory**
      - the amount of RAM memory requested for the session;
 
    * - **GPU configuration**
      - the number of GPUs which the user requests; differently from CPUs, they are not shared among users and are assigned exclusively; the number of GPUs is limited, thus please be careful to release the resources you requested when you finish your work (see the session ""Logout vs Session shutdown"" here below) to let the other users to use them. You can check the availability of resources, in particular GPU ones, by looking at the table at the bottom of the page, wherein each row is displayed the number of nodes with no free GPUs, the ones with a single free GPU and the ones with both the GPUs available;
 
    * - **Time**
      - the wall time of your interactive session; during this time, you can close and reopen your browser tab/windows with no issues: the session will stay active, and you can re-attach it simply by accessing to the Interactive Computing web url once again;
 
    * - **ICE4HPC Backend environment**
      - the suite of tools you expect to find during the session execution; see ""`Tools and functionalities`_"" section for details;
 
    * - **User interface**
      - only the JupyterLab interface is available so far, so please ignore this menu for now;

Once you have filled out the form with your preferred parameters, click the :bdg-black-line:`Start` button at the bottom. This action will redirect you to the JupyterLab interface, which runs on the cluster's compute nodes where the user can select the tool or functionality among the available.


Tools and functionalities
^^^^^^^^^^^^^^^^^^^^^^^^^
The tools you will see in the JupyterLab interface are ""packed"" in releases: each tool in each release is pinned at the same version to guarantee compatibility. It is possible to choose the release in the initial form displayed after the login phase: in the drop-down menu, they are labelled with a release date, thus the more the date is recent, the more the tool versions are updated, so as a rule of thumb, you might want to test the most recent release with your code.

Currently, the following services are up and running on the interface displayed after your session starts:"
security_guidelines.rst.txt,42,471,8474,10340,What specific security measures are recommended for databases hosted in a virtual machine (VM) to ensure they are not vulnerable to unauthorized access or data breaches?,"...), like `snap <https://en.wikipedia.org/wiki/Snap_(software)>`_ or `flatpak <https://en.wikipedia.org/wiki/Flatpak>`_.

Security for databases
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

If you have databases in your VM please make sure that these:

- are not open to the whole internet (0.0.0.0/0)
- are password protected
- information is transferred via a secure connection. 

Keep logs of your applications
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Use the best practices for logging:

- Make sure that the services are logging to a secure location, that is as tamper-proof as possible.
- Keep the logs for a reasonably long amount of time.
- Consider logging to a remote server as well.

Images
-------
The main reason behind the **prohibition of uploading community images**, to be used for instances creation, is the fact that 
they are visible and can be uploaded by any user on the cloud platform. 
CINECA HPC Cloud infrastructure administrators have thus no control on community image content.

The use of a community image implies an acceptance of the risk that the image owner has uploaded, unconsciously or not, 
an image containing malicious software or vulnerability like **backdoors**, **keyloggers**, **viruses** or **malware**.

Even if, the use of community images is not a guarantee of vulnerability, keeping in mind the aforementioned risks, 
the CINECA HPC Cloud infrastructure administrators have chosen to inhibit the possibility to upload images with such visibility.

More information
----------------

If you are interested to learn more about security in cloud application, we advise to read the material provided by `NeCTAR <https://support.ehelp.edu.au/support/solutions/folders/6000203455>`_. 




**Acknowledgements**:
CINECA Team would like to acknowledge the following source of information for this page: https://docs.csc.fi/cloud/pouta/security/"
fip_association.rst.txt,42,481,0,1745,"What steps are involved in allocating a floating IP to a project and subsequently associating it with a running instance in the Horizon dashboard, and what should users be aware of if they de-allocate and then re-allocate a floating IP?",".. _fip_associate_card:

Floating IP: allocate and associate
=======================================

Allocate a floating IP
----------------------

The allocation will reserve and return a floating IP from the available pool for the project.  

To allocate a floating IP to a project, in the :ref:`cloud/os_overview/management_tools/dashboard:horizon dashboard` 

- click on *""Network â Floating IPs""* 
- then click on the button *""Allocate IP to Project""* on the right side of the dashboard page. 
- Once allocated, a floating IP can be associated with running instances.

.. image:: /cloud/_img/op_fip_allocation_img1.png

.. image:: /cloud/_img/op_fip_allocation_img2.png  


At any moment, floating IPs can be de-allocated from a project using the available action for the floating IP.

.. important:: 

    It should be noted that if you de-allocate a floating IP from a project and then allocate one again, 
    the floating IP will not be same as before, as the floating IP is automatically select by the system from the available pool. 


Associate a floating IP to an instance
--------------------------------------

With the association of the floating IP to an instance, the instance becomes reachable from the external network.

- Click on *""Associate""* action on the right of the page *""Network â Floating IPs""*. 
- In the popup, select your virtual machine by the menu in *""Port to be associated""*.

.. image:: /cloud/_img/op_fip_assocation_img1.png

.. image:: /cloud/_img/op_fip_assocation_img2.png    


The inverse action, *âDissociate Floating IPâ*, is available from the *""Compute â Instances""* page.

At any moment, floating IPs can be de-associated from an instance using the available action for the floating IP."
